segmented_word,morph_tag,morph_type,count
ال,DET,Prefix,10913
و,CONJ,Prefix,9490
ي,IMPERF_PREF,Prefix,4508
وا,SUBJ_PRON,Suffix,2916
ف,CONJ,Prefix,2780
ة,NSUFF_FEM_SG,Suffix,2421
(null),CASE_DEF_GEN,Suffix,2338
ت,IMPERF_PREF,Prefix,2267
ا,CASE_INDEF_(ACC_GEN),Suffix,2256
ون,SUBJ_PRON,Suffix,2129
ب,PREP,Prefix,2075
ل,PREP,Prefix,2005
ه,POSS_PRON,Suffix,1705
هم,POSS_PRON,Suffix,1409
كم,POSS_PRON,Suffix,1244
نا,SUBJ_PRON,Suffix,1199
ات,NSUFF_FEM_PL,Suffix,1035
ين,NSUFF_MASC_PL_GEN,Suffix,979
هم,OBJ_PRON,Suffix,829
ك,POSS_PRON,Suffix,821
ل,OTHER,Prefix,810
نا,POSS_PRON,Suffix,767
ها,POSS_PRON,Suffix,763
ا,CASE_INDEF_ACC,Suffix,761
(null),CASE_INDEF_GEN,Suffix,754
(null),CASE_DEF_ACC,Suffix,747
ه,OBJ_PRON,Suffix,738
ه,PRON_3MS,Suffix,710
و,SUBJ_PRON,Suffix,678
هم,PRON_3MP,Suffix,641
ون,NSUFF_MASC_PL_NOM,Suffix,638
ت,SUFF_FEM_TA,Suffix,637
وا,PVSUFF_SUBJ:3MP,Suffix,623
كم,OBJ_PRON,Suffix,605
ي,POSS_PRON,Suffix,584
ن,IMPERF_PREF,Prefix,562
ا,CV_PREF,Prefix,562
ين,NSUFF_MASC_PL_ACC,Suffix,500
أ,INTERROG,Prefix,499
(null),CASE_DEF_NOM,Suffix,493
(null),PVSUFF_SUBJ:3MS,Suffix,410
تم,SUBJ_PRON,Suffix,391
كم,PRON_2MP,Suffix,382
ت,SUBJ_PRON,Suffix,354
أ,IMPERF_PREF,Prefix,348
ك,OBJ_PRON,Suffix,317
ت,NSUFF_FEM_SG,Suffix,295
ك,PREP,Prefix,294
ها,OBJ_PRON,Suffix,290
ن,NOON_V5,Suffix,241
ن,EMPHATIC_NUN,Suffix,239
ي,IV3MS,Prefix,238
ف,OTHER,Prefix,221
ن,PROTECT_NUN,Suffix,220
ي,IV3MP,Prefix,210
تم,PVSUFF_SUBJ:2MP,Suffix,188
ه,POSS_PRON_3MS,Suffix,178
ي,OBJ_PRON,Suffix,178
ما,REL_PRON,Suffix,172
ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,162
ها,OTHER,Suffix,151
هم,POSS_PRON_3MP,Suffix,148
نا,OBJ_PRON,Suffix,140
نا,POSS_PRON_1P,Suffix,117
(null),CASE_INDEF_NOM,Suffix,114
نا,PVSUFF_SUBJ:1P,Suffix,107
هن,POSS_PRON,Suffix,102
ا,SUBJ_PRON,Suffix,94
ن,SUBJ_PRON,Suffix,91
س,FUTURE_PART,Prefix,90
ت,IV3FS,Prefix,89
ي,RELATIVE_YA,Suffix,88
ي,NSUFF_MASC_PL_GEN,Suffix,81
ين,NSUFF_MASC_DU_GEN,Suffix,80
نا,PRON_1P,Suffix,77
(null),CASE_INDEF_ACC,Suffix,72
هن,OBJ_PRON,Suffix,65
ئذ,POSS_PRON,Suffix,65
ي,PRON_1S,Suffix,63
ها,PRON_3FS,Suffix,61
هما,POSS_PRON,Suffix,59
ان,SUBJ_PRON,Suffix,55
م,OTHER,Suffix,52
و,NSUFF_MASC_PL_NOM,Suffix,49
أ,CV_PREF,Prefix,49
كما,POSS_PRON,Suffix,49
و,OTHER,Prefix,48
Lا,OTHER,Suffix,44
و,OTHER,Suffix,42
هما,POSS_PRON_3D,Suffix,40
W,CONJ,Prefix,37
ن,IV1P,Prefix,36
من,REL_PRON,Suffix,36
ت,PVSUFF_SUBJ:3FS,Suffix,34
ي,NSUFF_MASC_PL_ACC,Suffix,30
ب,PART,Prefix,30
وا,IVSUFF_SUBJ:MP_MOOD:SJ,Suffix,30
س,FUT_PART,Prefix,29
ها,POSS_PRON_3FS,Suffix,29
ي,SUBJ_PRON,Suffix,29
ان,NSUFF_MASC_DU_NOM,Suffix,29
هما,OBJ_PRON,Suffix,27
ما,SUFF,Suffix,25
ي,NSUFF_MASC_DU_ACC,Suffix,24
ي,POSS_PRON_1S,Suffix,24
ح,POSS_PRON,Suffix,24
ين,NSUFF_MASC_DU_ACC,Suffix,24
ل,DET,Prefix,22
ين,NSUFF_FEM_DU_GEN,Suffix,21
ك,PRON_2MS,Suffix,20
ما,POSS_PRON,Suffix,17
ي,NSUFF_MASC_DU_GEN,Suffix,16
ل,CV_PREF,Prefix,15
ى,POSS_PRON,Suffix,15
أ,IV1S,Prefix,15
ما,OTHER,Suffix,14
ني,PRON_1S,Suffix,14
ت,POSS_PRON,Suffix,13
ين,NSUFF_FEM_DU_ACC,Suffix,13
ان,NSUFF_FEM_DU_NOM,Suffix,12
هما,PRON_3D,Suffix,11
None,None,Suffix,11
ه,PVSUFF_DO:3MS,Suffix,10
و,PREP,Prefix,10
ي,NSUFF_FEM_DU_GEN,Suffix,9
لا,OTHER,Suffix,9
يه,POSS_PRON,Suffix,9
كن,POSS_PRON,Suffix,9
ت,OTHER,Prefix,9
ا,NSUFF_FEM_DU_NOM,Suffix,8
تم,OBJ_PRON,Suffix,8
هن,PRON_3FP,Suffix,7
ن,OTHER,Suffix,7
و,PVSUFF_SUBJ:3MP,Suffix,7
ت,PVSUFF_SUBJ:1S,Suffix,7
لقاء,NOUN,Suffix,7
كما,OBJ_PRON,Suffix,7
(null),CASE_INDEF_(ACC_GEN),Suffix,6
وا,POSS_PRON,Suffix,6
ا,NSUFF_FEM_PL,Suffix,6
ا,NSUFF_MASC_DU_NOM,Suffix,6
هم,PVSUFF_DO:3MP,Suffix,6
آ,IMPERF_PREF,Prefix,6
وا,NSUFF_MASC_PL_ACC,Suffix,6
M,POSS_PRON,Suffix,5
ه,IVSUFF_DO:3MS,Suffix,5
ات,SUFF_FEM_TA,Suffix,5
تن,SUBJ_PRON,Suffix,5
ه,OTHER,Suffix,5
ئذ,OTHER,Suffix,5
ي,OTHER,Suffix,4
وا,CVSUFF_SUBJ:2MP,Suffix,4
تمو,SUBJ_PRON,Suffix,4
(null),CVSUFF_SUBJ:2MS,Suffix,4
تا,SUBJ_PRON,Suffix,4
كم,OTHER,Suffix,4
لا,POSS_PRON,Suffix,4
ها,OTHER,Prefix,4
ا,POSS_PRON,Suffix,4
ا,SUFF,Suffix,4
ك,POSS_PRON_2MS,Suffix,4
ة,SUFF_FEM_TA,Suffix,3
ي,NSUFF_FEM_DU_ACC,Suffix,3
L,PREP,Prefix,3
كم,SUBJ_PRON,Suffix,3
ين,SUBJ_PRON,Suffix,3
ل,PREFIX,Prefix,3
تما,SUBJ_PRON,Suffix,2
هن,SUBJ_PRON,Suffix,2
ن,SUFF,Suffix,2
ات,NSUFF_MASC_PL_GEN,Suffix,2
ها,PVSUFF_DO:3FS,Suffix,2
ل,OTHER,Suffix,2
ب,CONJ,Prefix,2
ل,IMPERF_PREF,Prefix,2
آل,DET,Prefix,2
ي,NSUFF_MASC_DU_GEN_POSS,Suffix,2
ي,OTHER,Prefix,2
كن,OBJ_PRON,Suffix,2
ا,OTHER,Suffix,2
ا,RELATIVE_YA,Suffix,2
كهم,OBJ_PRON,Suffix,1
ات,NSUFF_MASC_PL_NOM,Suffix,1
تم,POSS_PRON,Suffix,1
هم,SUBJ_PRON,Suffix,1
ن,POSS_PRON,Suffix,1
ك,OTHER,Suffix,1
كمو,OBJ_PRON,Suffix,1
ب,IMPERF_PREF,Prefix,1
ٍ,OBJ_PRON,Suffix,1
ات,NSUFF_MASC_PL_ACC,Suffix,1
ون,NSUFF_FEM_PL,Suffix,1
لم,OTHER,Suffix,1
ني,OBJ_PRON,Suffix,1
ط,SUFF_FEM_TA,Suffix,1
هما,SUBJ_PRON,Suffix,1
أنا,SUBJ_PRON,Suffix,1
ه,OTHER,Prefix,1
ك,OTHER,Prefix,1
مهم,POSS_PRON,Suffix,1
كن,SUBJ_PRON,Suffix,1
كها,OBJ_PRON,Suffix,1
ال,CONJ,Prefix,1
ت,IV2MP,Prefix,1
وات,NSUFF_FEM_PL,Suffix,1
ون,POSS_PRON,Suffix,1
ا,EMPHATIC_NUN,Suffix,1
