الوزن,الأداة,نوع الجمع,Unicode,UTF-8,عدد الفونيمات,نوع الحركة الأولى,ملاحظات
فَعْل,أَفْعُل,جموع القلة القياسية ,U+0623,b'\xd8\xa3',7,َ,كل اسم مفرد ثلاثي سالم
فِعَال,أَفْعُل,جموع القلة القياسية ,U+0623,b'\xd8\xa3',7,َ,وزن من أوزان جمع التكسير
فَعَل,أَفْعَال,جموع القلة القياسية ,U+0623,b'\xd8\xa3',8,َ,و هو قياسي في كل اسم ثلاثي ى ينقاس الوزن فيه الوزن السابق (أَفْعُل)
فُعْل,أَفْعَال,جموع القلة القياسية ,U+0623,b'\xd8\xa3',8,َ,"هذه أوزان اسمية ثلاثية، وغالباً ما تستخدم لتدل على المصدر (الاسم الذي يدل على الحدث) من الفعل الثلاثي.
"
فَعَال, أَفْعِلَة,جموع القلة القياسية ,U+0020,b' ',10,َ,"كل اسم مذكر مفرد رباعي، قبل آخره حرف مد "
فُعْول, أَفْعِلَة,جموع القلة القياسية ,U+0020,b' ',10,َ,وزن من أوزان جمع التكسير
فَعِيل, أَفْعِلَة,جموع القلة القياسية ,U+0020,b' ',10,َ,وزن من أوزان جمع التكسير
فِعَال,أَفْعِلَة,جموع القلة القياسية ,U+0623,b'\xd8\xa3',9,َ,وزن من أوزان جمع التكسير
فُعَال,أَفْعِلَة,جموع القلة القياسية ,U+0623,b'\xd8\xa3',9,َ,وزن من أوزان جمع التكسير
فَعَل,فُعُول,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,وزن من أوزان جمع التكسير
أَفْعَل,فُعْل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وَصْفٌ لِمُذكر 
فَعْلَاء,فُعْل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وَصْفٌ لِمُذكر 
فَعِل,فُعُل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,هو قياسي
فَعُول,فُعُل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وصف بمعنى (فَاعِلِ)
فَعِيل,فُعُل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وزن من أوزان جمع التكسير
فُعْلَى,فُعَل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,و هو قياسي
فُعْلَة,فُعَل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وزن من أوزان جمع التكسير
فُعْلَى,فُعَل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وزن من أوزان جمع التكسير
فُعُلَة,فُعَل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ُ,وزن من أوزان جمع التكسير
فِعْلَة,فِعَل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',5,ِ,قياسي في كل اسم على وزن فِعْلَة اسم تام ؛ أي لم يحذف منه شيء
فَاعٍ,فُعَلَة,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,ُ,كل وصف لمذكر عاقل على وزن فَاعِل مُعتل اللام بـ (الياء أو الواو)
فَاعِل,فَعَلَة,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,كل وصف على وزن فَاعِل لمذكر عاقل صحيح اللام 
فَاعِل,فُعَّل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,وزن من أوزان جمع التكسير
فَعْلَان,فَعْلَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,كل وصف يدل على هلاك أ توجع أو عيب 
فَعِيل,فَعْلَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,مفرد بمعنى مَفْعُول 
أَفْعَل,فَعْلَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,مفرد 
فَيْعِل,فَعْلَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,مفرد 
فَاعِل,فَعْلَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,َ,مفرد 
فِعْلَة,فِعَلَة,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,ِ,كل اسم على وزن ( فُعْل أو فِعْل) صحيح الام 
فَاعِل,فُعَّل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,كل وصف على وزن (فَاعِل أو فَاعِلَة) صحيح الام 
فَاعِل,فُعَّال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',7,ُ,كل وصف على وزن فَاعِل صحيح الام لمذكر 
فَعِيل,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,وزن من أوزان جمع التكسير
فَعَل,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,لامها صحيحة غير مضعفة 
فَعَلَة,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,لامها صحيحة غير مضعفة 
فُعْل,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,غير واوي العين و لا يائي اللام  
فِعْل,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,غير واوي العين و لا يائي اللام  
فَعْلَان,فِعَال,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ِ,وصف
فَعِل,فُعُول,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,وزن من أوزان جمع التكسير
فَعْل,فُعُول,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,وزن من أوزان جمع التكسير
فِعْل,فُعُول,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',6,ُ,وزن من أوزان جمع التكسير
فَاعِل,فِعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ِ,وزن من أوزان جمع التكسير
فُعْل,فِعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ِ,معتل العين بالواو
فُعَل,فَعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فُعَال,فِعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ِ,وزن من أوزان جمع التكسير
فُعْلَان,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَعِيل,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَعْل,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَعَل,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,صحيح العين
فَعِيل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
مُفْعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
مُفَاعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَاعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وصف لمذكر عاقل دال على سجية أو يشابهها في الدوام
فَعِيل,أَفْعِلَاء,جموع الكثرة القياسية ,U+0623,b'\xd8\xa3',10,َ,كل وصف على وزن (فَعِيل) مضعف أو معتل اللام
فَاعِل,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَاعِلة,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,اسم أو صفة 
فَوْعَل,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَوْعَلَة,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعِيلَة,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,كل رباعي مؤنث لفظيا أو معنويا اسم أو صفة حرفه الثالث مد 
فَعَالَةٍ,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,بفتح الفاء أو كسرها أو ضمها 
فَعُولَة,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فِعَال,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعُول,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلَاة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعَلَل,فَعَالِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فِعْلَاة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلُوة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلَاء,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,اسمًا
فَعْلَاء,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وصفًا لمؤنث لا مذكر له 
فُعْلِيّ,فَعَالَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,"كل اسم ثلاثي ساكن العين ، و بعد الأحرف الثلاثة ياء مشددة "
فِعْلَل,فَعَالِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
مَفْعَل,مَفَاعِل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',8,َ,وزن من أوزان جمع التكسير
مَفْعَلَة,مَفَاعِل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',8,َ,وزن من أوزان جمع التكسير
مِفْعَال,مَفَاعِيل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',9,َ,وزن من أوزان جمع التكسير
,,,,,0,,وزن من أوزان جمع التكسير
"اسكندر،أحمدكيف تتقن الصرف؟ 2023م،دار اللؤلؤة،ط1 ص 242",,,,,,,
