Root,Word,Count,Verse_Numbers,Sample_Verse
قرأ,قَرْيَةٍ,19,"266, 912, 958, 1048, 1806",أَوْ كَالَّذِي مَرَّ عَلَى قَرْيَةٍ وَهِيَ خَاوِيَةٌ عَلَى عُرُوشِهَا قَالَ أَنَّى يُحْيِي هَذِهِ ال
قرأ,قَرِيباً,9,"1277, 1738, 2080, 3596, 4601",لَوْ كَانَ عَرَضاً قَرِيباً وَسَفَراً قَاصِداً لَّاتَّبَعُوكَ وَلَكِن بَعُدَتْ عَلَيْهِمُ الشُّقَّةُ
قرأ,قَرِيبٌ,8,"193, 221, 1010, 1534, 1537",وَإِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌ <sel> أُجِيبُ دَعْوَةَ الدَّاعِ إِذَا دَعَانِ <sel
قرأ,الْقَرْيَةِ,7,"568, 1117, 2557, 2895, 3371",وَمَا لَكُمْ لَا تُقَاتِلُونَ فِي سَبِيلِ اللَّهِ وَالْمُسْتَضْعَفِينَ مِنَ الرِّجَالِ وَالنِّسَاءِ 
قرأ,الْقُرُونِ,7,"1589, 2046, 2399, 2476, 3330",فَلَوْلَا كَانَ مِنَ الْقُرُونِ مِن قَبْلِكُمْ أُولُو بَقِيَّةٍ يَنْهَوْنَ عَنِ الْفَسَادِ فِي الْأَ
قرأ,قَرِيبٍ,6,"510, 570, 1794, 3657, 4671",إِنَّمَا التَّوْبَةُ عَلَى اللَّهِ لِلَّذِينَ يَعْمَلُونَ السُّوءَ بِجَهَالَةٍ ثُمَّ يَتُوبُونَ مِن 
قرأ,وَقْراً,4,"814, 2075, 2197, 3476",وَمِنْهُم مَّن يَسْتَمِعُ إِلَيْكَ <sel> وَجَعَلْنَا عَلَى قُلُوبِهِمْ أَكِنَّةً أَن يَفْقَهُوهُ وَف
قرأ,قَرَارٍ,4,"1776, 2686, 2723, 5643",وَمَثَلُ كَلِمَةٍ خَبِيثَةٍ كَشَجَرَةٍ خَبِيثَةٍ اجْتُثَّتْ مِن فَوْقِ الْأَرْضِ مَا لَهَا مِن قَرَا
قرأ,الْقَرْيَةَ,3,"65, 1115, 1678",وَإِذْ قُلْنَا ادْخُلُوا هَذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَداً وَادْخُلُوا الْ
قرأ,لِلْفُقَرَاءِ,3,"280, 1295, 5134",لِلْفُقَرَاءِ الَّذِينَ أُحْصِرُوا فِي سَبِيلِ اللَّهِ لَا يَسْتَطِيعُونَ ضَرْباً فِي الْأَرْضِ يَحْ
قرأ,فَعَقَرُوهَا,3,"1538, 3089, 6057",فَعَقَرُوهَا فَقَالَ تَمَتَّعُوا فِي دَارِكُمْ ثَلَاثَةَ أَيَّامٍ <sel> ذَلِكَ وَعْدٌ غَيْرُ مَكْذُو
قرأ,قَرْيَةً,3,"2013, 2045, 3193",وَضَرَبَ اللَّهُ مَثَلاً قَرْيَةً كَانَتْ آمِنَةً مُّطْمَئِنَّةً يَأْتِيهَا رِزْقُهَا رَغَداً مِّن ك
قرأ,قَرِيناً,2,"531, 531",وَالَّذِينَ يُنفِقُونَ أَمْوَالَهُمْ رِئَاءَ النَّاسِ وَلَا يُؤْمِنُونَ بِاللَّهِ وَلَا بِالْيَوْمِ 
قرأ,قَرْيَتِكُمْ,2,"1036, 3215",وَمَا كَانَ جَوَابَ قَوْمِهِ إِلَّا أَن قَالُوا أَخْرِجُوهُم مِّن قَرْيَتِكُمْ <sel> إِنَّهُمْ أُنَا
قرأ,الْقُرُونَ,2,"1377, 3295",وَلَقَدْ أَهْلَكْنَا الْقُرُونَ مِن قَبْلِكُمْ لَمَّا ظَلَمُوا وَجَاءَتْهُمْ رُسُلُهُم بِالْبَيِّنَا
قرأ,يَقْرَءُونَ,2,"1458, 2100",فَإِن كُنتَ فِي شَكٍّ مِّمَّا أَنزَلْنَا إِلَيْكَ فَاسْأَلِ الَّذِينَ يَقْرَءُونَ الْكِتَابَ مِن قَب
قرأ,بَقَرَاتٍ,2,"1639, 1642",وَقَالَ الْمَلِكُ إِنِّي أَرَى سَبْعَ بَقَرَاتٍ سِمَانٍ يَأْكُلُهُنَّ سَبْعٌ عِجَافٌ وَسَبْعَ سُنبُل
قرأ,الْقَرَارُ,2,"1779, 4030",جَهَنَّمَ يَصْلَوْنَهَا <sel> وَبِئْسَ الْقَرَارُ
قرأ,عَاقِراً,2,"2255, 2258",وَإِنِّي خِفْتُ الْمَوَالِيَ مِن وَرَائِي وَكَانَتِ امْرَأَتِي عَاقِراً فَهَبْ لِي مِن لَّدُنكَ وَلِ
قرأ,أَقَرِيبٌ,2,"2592, 5472",فَإِن تَوَلَّوْا فَقُلْ آذَنتُكُمْ عَلَى سَوَاءٍ <sel> وَإِنْ أَدْرِي أَقَرِيبٌ أَم بَعِيدٌ مَّا تُو
قرأ,قُرُوناً,2,"2715, 3297",ثُمَّ أَنشَأْنَا مِن بَعْدِهِمْ قُرُوناً آخَرِينَ
قرأ,مُسْتَقَرّاً,2,"2921, 2931",إِنَّهَا سَاءَتْ مُسْتَقَرّاً وَمُقَاماً
قرأ,قَرَاراً,2,"3220, 4197",أَمَّن جَعَلَ الْأَرْضَ قَرَاراً وَجَعَلَ خِلَالَهَا أَنْهَاراً وَجَعَلَ لَهَا رَوَاسِيَ وَجَعَلَ بَ
قرأ,الْفُقَرَاءُ,2,"3675, 4583",يَا أَيُّهَا النَّاسُ أَنتُمُ الْفُقَرَاءُ إِلَى اللَّهِ <sel> وَاللَّهُ هُوَ الْغَنِيُّ الْحَمِيدُ
قرأ,قَرِينٌ,2,"3839, 4361",قَالَ قَائِلٌ مِّنْهُمْ إِنِّي كَانَ لِي قَرِينٌ
قرأ,قَرِينُهُ,2,"4653, 4657",وَقَالَ قَرِينُهُ هَذَا مَا لَدَيَّ عَتِيدٌ
قرأ,فَاقْرَءُوا,2,"5495, 5495",إِنَّ رَبَّكَ يَعْلَمُ أَنَّكَ تَقُومُ أَدْنَى مِن ثُلُثَيِ اللَّيْلِ وَنِصْفَهُ وَثُلُثَهُ وَطَائِف
قرأ,قُرُوءٍ,1,235,وَالْمُطَلَّقَاتُ يَتَرَبَّصْنَ بِأَنفُسِهِنَّ ثَلَاثَةَ قُرُوءٍ <sel> وَلَا يَحِلُّ لَهُنَّ أَن يَك
قرأ,الْفُقَرَاءَ,1,278,إِن تُبْدُوا الصَّدَقَاتِ فَنِعِمَّا هِيَ <sel> وَإِن تُخْفُوهَا وَتُؤْتُوهَا الْفُقَرَاءَ فَهُوَ خَ
قرأ,قَرَاطِيسَ,1,880,وَمَا قَدَرُوا اللَّهَ حَقَّ قَدْرِهِ إِذْ قَالُوا مَا أَنزَلَ اللَّهُ عَلَى بَشَرٍ مِّن شَيْءٍ <sel
قرأ,فَعَقَرُوا,1,1031,فَعَقَرُوا النَّاقَةَ وَعَتَوْا عَنْ أَمْرِ رَبِّهِمْ وَقَالُوا يَا صَالِحُ ائْتِنَا بِمَا تَعِدُنَا
قرأ,قَرْيَتِنَا,1,1042,قَالَ الْمَلَأُ الَّذِينَ اسْتَكْبَرُوا مِن قَوْمِهِ لَنُخْرِجَنَّكَ يَا شُعَيْبُ وَالَّذِينَ آمَنُو
قرأ,قَرْيَةٌ,1,1462,فَلَوْلَا كَانَتْ قَرْيَةٌ آمَنَتْ فَنَفَعَهَا إِيمَانُهَا إِلَّا قَوْمَ يُونُسَ لَمَّا آمَنُوا كَشَ
قرأ,بِقَرِيبٍ,1,1554,قَالُوا يَا لُوطُ إِنَّا رُسُلُ رَبِّكَ لَن يَصِلُوا إِلَيْكَ <sel> فَأَسْرِ بِأَهْلِكَ بِقِطْعٍ مِّ
قرأ,وَقَرِّي,1,2276,فَكُلِي وَاشْرَبِي وَقَرِّي عَيْناً <sel> فَإِمَّا تَرَيِنَّ مِنَ الْبَشَرِ أَحَداً فَقُولِي إِنِّي 
قرأ,فُقَرَاءَ,1,2823,وَأَنكِحُوا الْأَيَامَى مِنكُمْ وَالصَّالِحِينَ مِنْ عِبَادِكُمْ وَإِمَائِكُمْ <sel> إِن يَكُونُوا ف
قرأ,مُّسْتَقَرّاً,1,2879,أَصْحَابُ الْجَنَّةِ يَوْمَئِذٍ خَيْرٌ مُّسْتَقَرّاً وَأَحْسَنُ مَقِيلاً
قرأ,وَقُرُوناً,1,2893,وَعَاداً وَثَمُودَ وَأَصْحَابَ الرَّسِّ وَقُرُوناً بَيْنَ ذَلِكَ كَثِيراً
قرأ,مُسْتَقِرّاً,1,3199,قَالَ الَّذِي عِندَهُ عِلْمٌ مِّنَ الْكِتَابِ أَنَا آتِيكَ بِهِ قَبْلَ أَن يَرْتَدَّ إِلَيْكَ طَرْفُ
قرأ,الْقَرَارِ,1,4172,يَا قَوْمِ إِنَّمَا هَذِهِ الْحَيَاةُ الدُّنْيَا مَتَاعٌ وَإِنَّ الْآخِرَةَ هِيَ دَارُ الْقَرَارِ
قرأ,الْقَرْيَتَيْنِ,1,4356,وَقَالُوا لَوْلَا نُزِّلَ هَذَا الْقُرْآنُ عَلَى رَجُلٍ مِّنَ الْقَرْيَتَيْنِ عَظِيمٍ
قرأ,الْقَرِينُ,1,4363,حَتَّى إِذَا جَاءَنَا قَالَ يَا لَيْتَ بَيْنِي وَبَيْنَكَ بُعْدَ الْمَشْرِقَيْنِ فَبِئْسَ الْقَرِينُ
قرأ,الْقُرُونُ,1,4527,وَالَّذِي قَالَ لِوَالِدَيْهِ أُفٍّ لَّكُمَا أَتَعِدَانِنِي أَنْ أُخْرَجَ وَقَدْ خَلَتِ الْقُرُونُ م
قرأ,قَرْيَتِكَ,1,4558,وَكَأَيِّن مِّن قَرْيَةٍ هِيَ أَشَدُّ قُوَّةً مِّن قَرْيَتِكَ الَّتِي أَخْرَجَتْكَ أَهْلَكْنَاهُمْ ف
قرأ,وَتُوَقِّرُوهُ,1,4592,لِّتُؤْمِنُوا بِاللَّهِ وَرَسُولِهِ وَتُعَزِّرُوهُ وَتُوَقِّرُوهُ وَتُسَبِّحُوهُ بُكْرَةً وَأَصِيلاً
قرأ,وِقْراً,1,4677,فَالْحَامِلَاتِ وِقْراً
قرأ,وَعَبْقَرِيٍّ,1,4977,مُتَّكِئِينَ عَلَى رَفْرَفٍ خُضْرٍ وَعَبْقَرِيٍّ حِسَانٍ
قرأ,اقْرَءُوا,1,5342,فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَيَقُولُ هَاؤُمُ اقْرَءُوا كِتَابِيَهْ
قرأ,قُرَيْشٍ,1,6194,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ لِإِيلَافِ قُرَيْشٍ
كتب,الْكِتَابَ,78,"51, 60, 85, 86, 94",أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ <sel> أَفَل
كتب,الْكِتَابِ,77,"92, 112, 116, 166, 181",ثُمَّ أَنتُمْ هَؤُلَاءِ تَقْتُلُونَ أَنفُسَكُمْ وَتُخْرِجُونَ فَرِيقاً مِّنكُم مِّن دِيَارِهِمْ تَظَ
كتب,كِتَابٌ,18,"96, 881, 944, 956, 1228",وَلَمَّا جَاءَهُمْ كِتَابٌ مِّنْ عِندِ اللَّهِ مُصَدِّقٌ لِّمَا مَعَهُمْ وَكَانُوا مِن قَبْلُ يَسْتَ
كتب,كِتَابٍ,15,"374, 848, 1425, 1479, 2400",وَإِذْ أَخَذَ اللَّهُ مِيثَاقَ النَّبِيِّينَ لَمَا آتَيْتُكُم مِّن كِتَابٍ وَحِكْمَةٍ ثُمَّ جَاءَكُم
كتب,كُتِبَ,13,"185, 187, 190, 190, 223",يَا أَيُّهَا الَّذِينَ آمَنُوا كُتِبَ عَلَيْكُمُ الْقِصَاصُ فِي الْقَتْلَى <sel> الْحُرُّ بِالْحُرِّ
كتب,كِتَاباً,12,"438, 596, 646, 796, 2042",وَمَا كَانَ لِنَفْسٍ أَن تَمُوتَ إِلَّا بِإِذْنِ اللَّهِ كِتَاباً مُّؤَجَّلاً <sel> وَمَن يُرِدْ ثَو
كتب,الْكِتَابُ,8,"9, 242, 945, 946, 2189",ذَلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ <sel> هُدًى لِّلْمُتَّقِينَ
كتب,كَتَبَ,8,"194, 690, 801, 843, 1286",أُحِلَّ لَكُمْ لَيْلَةَ الصِّيَامِ الرَّفَثُ إِلَى نِسَائِكُمْ <sel> هُنَّ لِبَاسٌ لَّكُمْ وَأَنتُمْ
كتب,كِتَابِ,7,"316, 713, 1235, 1271, 2167",أَلَمْ تَرَ إِلَى الَّذِينَ أُوتُوا نَصِيباً مِّنَ الْكِتَابِ يُدْعَوْنَ إِلَى كِتَابِ اللَّهِ لِيَح
كتب,وَالْكِتَابِ,6,"184, 477, 629, 629, 4327",لَّيْسَ الْبِرَّ أَن تُوَلُّوا وُجُوهَكُمْ قِبَلَ الْمَشْرِقِ وَالْمَغْرِبِ وَلَكِنَّ الْبِرَّ مَنْ 
كتب,يَكْتُبُونَ,5,"86, 1385, 4405, 4776, 5318",فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ الْكِتَابَ بِأَيْدِيهِمْ ثُمَّ يَقُولُونَ هَذَا مِنْ عِندِ اللَّهِ 
كتب,كِتَابَ,5,"108, 517, 3689, 5855, 5866",وَلَمَّا جَاءَهُمْ رَسُولٌ مِّنْ عِندِ اللَّهِ مُصَدِّقٌ لِّمَا مَعَهُمْ نَبَذَ فَرِيقٌ مِّنَ الَّذِ
كتب,كِتَابَهُ,5,"2100, 5342, 5348, 5891, 5894",يَوْمَ نَدْعُو كُلَّ أُنَاسٍ بِإِمَامِهِمْ <sel> فَمَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَأُولَئِكَ يَ
كتب,بِالْكِتَابِ,4,"371, 412, 1124, 4203",وَإِنَّ مِنْهُمْ لَفَرِيقاً يَلْوُونَ أَلْسِنَتَهُم بِالْكِتَابِ لِتَحْسَبُوهُ مِنَ الْكِتَابِ وَمَا
كتب,كَاتِبٌ,3,"289, 289, 289",يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,وَكُتُبِهِ,3,"292, 629, 5241",آمَنَ الرَّسُولُ بِمَا أُنزِلَ إِلَيْهِ مِن رَّبِّهِ وَالْمُؤْمِنُونَ <sel> كُلٌّ آمَنَ بِاللَّهِ وَ
كتب,كَتَبْنَا,3,"559, 701, 2588",وَلَوْ أَنَّا كَتَبْنَا عَلَيْهِمْ أَنِ اقْتُلُوا أَنفُسَكُمْ أَوِ اخْرُجُوا مِن دِيَارِكُم مَّا فَع
كتب,بِكِتَابٍ,3,"1006, 3301, 4514",وَلَقَدْ جِئْنَاهُم بِكِتَابٍ فَصَّلْنَاهُ عَلَى عِلْمٍ هُدًى وَرَحْمَةً لِّقَوْمٍ يُؤْمِنُونَ
كتب,فَاكْتُبْنَا,2,"346, 752",رَبَّنَا آمَنَّا بِمَا أَنزَلْتَ وَاتَّبَعْنَا الرَّسُولَ فَاكْتُبْنَا مَعَ الشَّاهِدِينَ
كتب,سَنَكْتُبُ,2,"474, 2329",لَّقَدْ سَمِعَ اللَّهُ قَوْلَ الَّذِينَ قَالُوا إِنَّ اللَّهَ فَقِيرٌ وَنَحْنُ أَغْنِيَاءُ <sel> سَن
كتب,وَكَتَبْنَا,2,"714, 1099",وَكَتَبْنَا عَلَيْهِمْ فِيهَا أَنَّ النَّفْسَ بِالنَّفْسِ وَالْعَيْنَ بِالْعَيْنِ وَالْأَنفَ بِالْأَ
كتب,كِتَابُ,2,"1490, 4522",أَفَمَن كَانَ عَلَى بَيِّنَةٍ مِّن رَّبِّهِ وَيَتْلُوهُ شَاهِدٌ مِّنْهُ وَمِن قَبْلِهِ كِتَابُ مُوسَ
كتب,وَكِتَابٍ,2,"3160, 4737",بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ طس <sel> تِلْكَ آيَاتُ الْقُرْآنِ وَكِتَابٍ مُّبِينٍ
كتب,وَالْكِتَابَ,2,"3367, 5101",وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ وَجَعَلْنَا فِي ذُرِّيَّتِهِ النُّبُوَّةَ وَالْكِتَابَ وَآتَي
كتب,كِتَابِيَهْ,2,"5342, 5348",فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَيَقُولُ هَاؤُمُ اقْرَءُوا كِتَابِيَهْ
كتب,كَتَبَتْ,1,86,فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ الْكِتَابَ بِأَيْدِيهِمْ ثُمَّ يَقُولُونَ هَذَا مِنْ عِندِ اللَّهِ 
كتب,فَاكْتُبُوهُ,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,وَلْيَكْتُب,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,يَكْتُبَ,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,فَلْيَكْتُبْ,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,تَكْتُبُوهُ,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,تَكْتُبُوهَا,1,289,يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنتُم بِدَيْنٍ إِلَى أَجَلٍ مُّسَمًّى فَاكْتُبُوهُ <sel> 
كتب,كَاتِباً,1,290,وَإِن كُنتُمْ عَلَى سَفَرٍ وَلَمْ تَجِدُوا كَاتِباً فَرِهَانٌ مَّقْبُوضَةٌ <sel> فَإِنْ أَمِنَ بَعْض
كتب,كَتَبْتَ,1,570,أَلَمْ تَرَ إِلَى الَّذِينَ قِيلَ لَهُمْ كُفُّوا أَيْدِيَكُمْ وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَ
كتب,يَكْتُبُ,1,574,وَيَقُولُونَ طَاعَةٌ فَإِذَا بَرَزُوا مِنْ عِندِكَ بَيَّتَ طَائِفَةٌ مِّنْهُمْ غَيْرَ الَّذِي تَقُول
كتب,وَكِتَابٌ,1,684,يَا أَهْلَ الْكِتَابِ قَدْ جَاءَكُمْ رَسُولُنَا يُبَيِّنُ لَكُمْ كَثِيراً مِّمَّا كُنتُمْ تُخْفُونَ 
كتب,وَاكْتُبْ,1,1110,وَاكْتُبْ لَنَا فِي هَذِهِ الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ إِنَّا هُدْنَا إِلَيْكَ <sel> قَالَ 
كتب,فَسَأَكْتُبُهَا,1,1110,وَاكْتُبْ لَنَا فِي هَذِهِ الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ إِنَّا هُدْنَا إِلَيْكَ <sel> قَالَ 
كتب,كِتَابَكَ,1,2043,اقْرَأْ كِتَابَكَ كَفَى بِنَفْسِكَ الْيَوْمَ عَلَيْكَ حَسِيباً
كتب,كِتَابَهُمْ,1,2100,يَوْمَ نَدْعُو كُلَّ أُنَاسٍ بِإِمَامِهِمْ <sel> فَمَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَأُولَئِكَ يَ
كتب,كَاتِبُونَ,1,2577,فَمَن يَعْمَلْ مِنَ الصَّالِحَاتِ وَهُوَ مُؤْمِنٌ فَلَا كُفْرَانَ لِسَعْيِهِ وَإِنَّا لَهُ كَاتِبُون
كتب,لِلْكُتُبِ,1,2587,يَوْمَ نَطْوِي السَّمَاءَ كَطَيِّ السِّجِلِّ لِلْكُتُبِ <sel> كَمَا بَدَأْنَا أَوَّلَ خَلْقٍ نُّعِيد
كتب,فَكَاتِبُوهُمْ,1,2824,وَلْيَسْتَعْفِفِ الَّذِينَ لَا يَجِدُونَ نِكَاحاً حَتَّى يُغْنِيَهُمُ اللَّهُ مِن فَضْلِهِ <sel> وَا
كتب,بِّكِتَابِي,1,3187,اذْهَب بِّكِتَابِي هَذَا فَأَلْقِهْ إِلَيْهِمْ ثُمَّ تَوَلَّ عَنْهُمْ فَانظُرْ مَاذَا يَرْجِعُونَ
كتب,كُتُبٍ,1,3650,وَمَا آتَيْنَاهُم مِّن كُتُبٍ يَدْرُسُونَهَا <sel> وَمَا أَرْسَلْنَا إِلَيْهِمْ قَبْلَكَ مِن نَّذِير
كتب,وَبِالْكِتَابِ,1,3685,وَإِن يُكَذِّبُوكَ فَقَدْ كَذَّبَ الَّذِينَ مِن قَبْلِهِمْ جَاءَتْهُمْ رُسُلُهُم بِالْبَيِّنَاتِ وَب
كتب,وَنَكْتُبُ,1,3717,إِنَّا نَحْنُ نُحْيِي الْمَوْتَى وَنَكْتُبُ مَا قَدَّمُوا وَآثَارَهُمْ <sel> وَكُلَّ شَيْءٍ أَحْصَيْ
كتب,بِكِتَابِكُمْ,1,3945,فَأْتُوا بِكِتَابِكُمْ إِن كُنتُمْ صَادِقِينَ
كتب,لَكِتَابٌ,1,4259,إِنَّ الَّذِينَ كَفَرُوا بِالذِّكْرِ لَمَّا جَاءَهُمْ <sel> وَإِنَّهُ لَكِتَابٌ عَزِيزٌ
كتب,سَتُكْتَبُ,1,4344,وَجَعَلُوا الْمَلَائِكَةَ الَّذِينَ هُمْ عِبَادُ الرَّحْمَنِ إِنَاثاً <sel> أَشَهِدُوا خَلْقَهُمْ <s
كتب,كِتَابِهَا,1,4501,وَتَرَى كُلَّ أُمَّةٍ جَاثِيَةً <sel> كُلُّ أُمَّةٍ تُدْعَى إِلَى كِتَابِهَا الْيَوْمَ تُجْزَوْنَ مَ
كتب,كِتَابُنَا,1,4502,هَذَا كِتَابُنَا يَنطِقُ عَلَيْكُم بِالْحَقِّ <sel> إِنَّا كُنَّا نَسْتَنسِخُ مَا كُنتُمْ تَعْمَلُون
كتب,كَتَبْنَاهَا,1,5102,ثُمَّ قَفَّيْنَا عَلَى آثَارِهِم بِرُسُلِنَا وَقَفَّيْنَا بِعِيسَى ابْنِ مَرْيَمَ وَآتَيْنَاهُ الْإِ
كتب,كَاتِبِينَ,1,5840,كِرَاماً كَاتِبِينَ
كتب,كُتُبٌ,1,6133,فِيهَا كُتُبٌ قَيِّمَةٌ
