category,example,description,phoneme_char
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا تؤثر الهمزة على الكلمة من حيث البناء والإعراب .,ء
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا,ء
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا تؤثر الهمزة على الكلمة من حيث التأنيث - التذكير .,ء
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا تؤثر الهمزة على الكلمة من حيث الجمع- التثنية.,ء
دور الحرف النحوي في الكلمة من حيث (االلزوم - التّعدي),خرج = أخرج,عندما تزاد الهمزة للفعل اللازم تجعله متعديا,ء
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا تؤثر الهمزة على الكلمة من حيث النسب- التصغير .,ء
دور الحرف النحوي في الكلمة ( المصدر الميمي - صيغ المبالغة ),أعرج ومؤنثه عرجاء,"تدخل الهمزة في وزن الصفة المشبهة 
الصفة المشبهة على وزن (أَفْعل) الذي مؤنثه على وزن (فَعْلاء) وذلك فيما دل على لون أو عيب أو حلية.",ء
دور الحرف النحوي في الكلمة من حيث ( اسم الفاعل - اسم المفعول ),*,لا تؤثر الهمزة على الكلمة من حيث اسم الفاعل - اسم المفعول  .,ء
دور الحرف النحوي في الكلمة من حيث ( الزمان - المكان ),NULL,لا تؤثر الهمزة على الكلمة من حيث المكان- الزمان .,ء
تأثيره على الكلمة ( من حيث البناء والإعراب ),الطالبُ مجتهدٌ = مررتُ بالطالبِ المجتهد * بحَسْبِكَ زَيدٌ.*ما زيدٌ بقائم.*فَمَا رَجَعَتْ بِخَائِبَةٍ رِكَابُ,الباء تُستخدم في الأسماء، وتؤثر على الإعراب فيكون حرف جرّ يغير الموقع الإعرابي للاسم وحركته، وقد تكونُ هذه الباءُ زائدةً في سِتةِ مَواضعَ (مع المبتدأ- الخبر - المفعول به - الحال المنفية),ب
الموقع الإعرابي للحرف,NULL,لا محل له من الاعراب دائما,ب
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا تؤثر الباء على الكلمة من حيث التأنيث - التذكير .,ب
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا تؤثر الباء على الكلمة من حيث الجمع - التثنية.,ب
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا تؤثر الباء على الكلمة من حيث اللزوم - التعدي .,ب
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا تؤثر الباء على الكلمة من حيث النسب - التصغير .,ب
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),سبّاق للخير,قد تدخل في بعض الأوزان الصرفية الخاصة بالمصادر وصيغ المبالغة. عندا تضعّف,ب
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا تؤثر الباء على الكلمة من حيث اسم الفاعل  - اسم المفعول  .,ب
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),"""ولقد نصركم الله ببدر"" ، {إلا آل لوط نجيناهم بسحر } (القمر:34)، أي: في وقت السَّحَر، وهو وقت قبيل الصبح.",تأتي لمعنى الظرفية.,ب
تأثيره على الكلمة (من حيث البناء والإعراب),كَتَبْتُ، كَتَبْتَ، كَتَبْتِ,حرف التاء له تأثير واضح على الكلمة من حيث البناء والإعراب، ويختلف تأثيره حسب موقعه في الكلمة ونوعه. فهناك تاء التأنيث الساكنة التي تجعل الكلمة مبنية (لا تتغير حركتها)، مثل: جاءتْ، قرأتْ. وهناك تاء الفاعل المتحركة التي تلحق بالفعل الماضي فتدل على الفاعل، مثل: كتبتُ، كتبتَ، كتبتِ.,ت
الموقع الإعرابي للحرف,"أنتِ كَتَبْتِ الدَرْسَ. (التاء في ""كتبتِ"" ضمير متصل في محل رفع فاعل)
جاءَتْ الفَتاةُ. (التاء هنا حرف لا محل له من الإعراب)",يتغير موقع التاء الإعرابي بحسب السياق؛ فتاء التأنيث الساكنة لا محل لها من الإعراب، وتاء الفاعل المتحركة أو المخاطبة تكون ضميرًا في محل رفع فاعل.,ت
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),"يَلْعَب-تَلْعَب
كَتَبَ- تَكْتُب
مُدَرِّس- مُدَرِّسَة
خَليفَة، حَمْزَة، طَلْحَة، مُعاويَة",يؤثر التاء على الكلمة من حيث التذكير والتأنيث؛ فعندما تُضاف إلى الكلمة تحوّلها من المذكَّر إلى المؤنَّث، مثل: معلِّم → معلِّمة. وقد تأتي في أسماء مذكَّرة قليلًا مثل: خليفة، حمزة، طلحة.,ت
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),مُسْلِمات، مُعَلِّمات، طَبِيبات,يلعب حرف التاء دورًا مهمًا في جمع المؤنث السالم، إذ تزداد ألف وتاء في نهاية المفرد لتشكيل صيغة الجمع السالم، مثل: مسلمة → مسلمات.,ت
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),"عَلَّمَ → تَعَلَّمَ
كَسَّرَ الزُجَاجَ → تَكَسَّرَ الزُجَاجَ",يمكن للتاء أن تجعل الفعل متعديًا أو لازمًا بحسب وروده في الفعل؛ فمثلًا (علَّم) فعل متعدٍّ، وعندما تُزاد التاء يصبح (تعلَّم) لازمًا أو يوحي بالتدرج، وهكذا.,ت
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا تؤثر التاء على الكلمة من حيث النسب - التصغير.,ت
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا تؤثر التاء على الكلمة من حيث المصدر الميمي  - صيغ المبالغة.,ت
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا تؤثر التاء على الكلمة من حيث اسم الفاعل   - اسم المفعول.,ت
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا تؤثر التاء على الكلمة من حيث الزمان - المكان.,ت
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,ولا يؤثر على البناء أو الإعراب,ث
الموقع الإعرابي للحرف,*,لا محل له من الاعراب دائما,ث
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس من الحروف التي تدل على التأنيث.,ث
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),مثنى - اثنان - أمثال,ليس من الحروف النحوية ولا يُستخدم كعلامة في التثنية أو الجمع، لكنه يظهر في صيغ تدل عليهما.,ث
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,ليس له أثر في تحويل الأفعال من اللزوم إلى التعدي وبالعكس,ث
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,ليس له دور في النسب والتصغير,ث
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,ليس له دور في المصدر الميمي,ث
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,ليس له دور في اشتقاق اسم الزمان والمكان,ث
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),أثار = مُثار,ليس له دور في اشتقاق اسم الزمان والمكان,ث
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (البناء والإعراب ),ج
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ج
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (التأنيث -التذكير),ج
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (الجمع - التثنية ),ج
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (اللزوم - التّعدي),ج
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (النّسب -التّصغير),ج
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (المصدر الميمي - صيغ المبالغة),ج
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),ج
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (الزمان - المكان),ج
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤثر حرف الحاء على الكلمة من حيث البناء والإعراب.,ح
الموقع الإعرابي للحرف,*,لا يؤثر حرف الحاء على الكلمة من حيث الموقع الإعرابي.,ح
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يؤثر حرف الحاء في التأنيث أو التذكير.,ح
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤثر حرف الحاء في الجمع أو التثنية.,ح
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤثر حرف الحاء في اللزوم أو التعدي.,ح
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا يؤثر حرف الحاء في النسب أو التصغير.,ح
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤثر حرف الحاء في المصدر الميمي  أو صيغة المبالغة.,ح
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤثر حرف الحاء في اسم الفاعل  أو اسم المفعول.,ح
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يؤثر حرف الحاء في الزمان أو المكان.,ح
تأثيره على الكلمة (من حيث البناء والإعراب),*,حرف الخاء ليس عاملًا نحويًا ولا أثر له على الكلمة من حيث البناء والإعراب,خ
الموقع الإعرابي للحرف,*,لا محل له من الإعراب .,خ
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يؤثر الخاء في التأنيث والتذكير.,خ
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الخاء دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),خ
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الخاء دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),خ
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (النّسب - التّصغير),خ
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الجيم دورًا نحويًا  في الكلمة من حيث (المصدر الميمي - صيغ المبالغة),خ
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الخاء دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),خ
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (الزمان - المكان),خ
تأثيره على الكلمة ( من حيث البناء والإعراب ),"بَرَدَ الطالبُ القلمَ
يَعبُدُ المسلمُ الله",لا يؤثر حرف الدال على الكلمة من حيث البناء والإعراب.,د
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,د
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),"دجاجة
ديك
صندوق
قرد",لا يؤثر حرف الدال  في التذكير أو التأنيث.,د
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤثر حرف الدال في الجمع أو التثنية,د
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,الدال لا يؤدي دورًا نحويًا مباشرًا في تحديد لزوم الفعل أو تعدّيه.,د
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور له  في النسب أو التصغير.,د
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا دور لحرف الدال في المصدر الميمي أو صيغ المبالغة.,د
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا دور لحرف الدال في صياغة اسم الفاعل واسم المفعول .,د
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يوجد دور لحرف الدال في الزمان أو المكان,د
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,حرف الذال ليس عاملًا نحويًا ولا أثر له على الكلمة من حيث البناء والإعراب,ذ
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ذ
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس لحرف الذال أثر في تأنيث أو تذكير الكلمة.,ذ
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الذال دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ذ
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الذال دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),ذ
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور له في النسب والتصغير، لكنه قد يكون حرفًا أصليًا في الكلمة التي نُسبت أو صُغِّرت.,ذ
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الذال دورًا نحويًا  في الكلمة من حيث  (المصدر الميمي - صيغ المبالغة),ذ
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الذال دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),ذ
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يوجد لحرف الذال دور خاص في اشتقاق أسماء الزمان أو المكان.,ذ
تأثيره على الكلمة (من حيث البناء والإعراب),*,حرف الراء ليس عاملًا نحويًا ولا أثر له على الكلمة من حيث البناء والإعراب,ر
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ر
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس لحرف الراء أثر في تأنيث أو تذكير الكلمة.,ر
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الراء دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ر
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الراء دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),ر
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور خاص للراء في النسب أو التصغير؛ قد يكون جزءًا من أصل الكلمة التي صُغِّرت أو نُسبت.,ر
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الراء دورًا نحويًا  في الكلمة من حيث  (المصدر الميمي - صيغ المبالغة),ر
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الراء دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),ر
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يؤدي الراء دورًا نحويًا في الكلمة من حيث (الزمان - المكان),ر
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤثر حرف الزاي على الكلمة من حيث البناء والإعراب.,ز
الموقع الإعرابي للحرف,*,لا محل له من الإعراب,ز
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس لحرف الزاي أثر في تأنيث أو تذكير الكلمة.,ز
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الزاي دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ز
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الزاي دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),ز
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا يؤدي الزاي دورًا نحويًا في الكلمة من حيث (النّسب - التّصغير),ز
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الزاي دورًا نحويًا  في الكلمة من حيث  (المصدر الميمي - صيغ المبالغة),ز
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الزاي دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),ز
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يؤدي الزاي دورًا نحويًا في الكلمة من حيث (الزمان - المكان),ز
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,السين حرف لا يؤثر في إعراب الكلمة.,س
الموقع الإعرابي للحرف,*,لا محل من الإعراب,س
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),عليك = عليكس = عليس,يضاف حرف السين إلى الكاف في بعض اللهجات للدلالة على التأنيث (تُسمى الكسكسة) وقد تأتي مكانها في بعض السياقات.,س
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,السين ليست من الحروف التي تؤثر في الجمع أو التثنية.,س
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,ليس له دور في اللزوم والتعدي,س
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,ليس له دور في النسب والتصغير,س
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,ليس له دور في المصدر الميمي وصيغ المبالغة,س
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,ليس له دور في اسم الفاعل واسم المفعول,س
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,ليس له دور الزمان والمكان,س
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤثر حرف الشين على الكلمة من حيث البناء والإعراب.,ش
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,ش
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يؤثر حرف الشين وحده في التأنيث أو التذكير.,ش
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الشين دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ش
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),NULL,لا يؤدي الشين دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),ش
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور خاص للشين في النسب أو التصغير.,ش
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا دور خاص للشين في المصدر الميمي أو صيغ المبالغة.,ش
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا دور خاص للشين في اشتقاق اسم الفاعل أو اسم المفعول.,ش
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يغيّر حرف الشين قاعدة اشتقاق اسم الزمان أو المكان.,ش
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,لا يؤثر حرف الصاد على بناء الكلمة أو إعرابها، بل يكون جزءًا من بنيتها اللغوية دون تغيير موقعها النحوي.,ص
الموقع الإعرابي للحرف,*,لا محل له من الاعراب دائما,ص
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس لحرف الصاد أثر في تأنيث أو تذكير الكلمة.,ص
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الجيم دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ص
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,حرف الصاد لا يحدد لزوم الفعل أو تعدّيه؛ قد يرد في فعل لازم أو متعدٍّ وفق المعنى.,ص
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور خاص للصاد في النسب أو التصغير؛ قد يظهر كحرف أصلي في الكلمة التي نُسبت أو صُغِّرت.,ص
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا أثر مستقل لحرف الصاد في تكوين المصدر الميمي أو صيغ المبالغة؛ إنما قد يرد في الجذر الأصلي فحسب.,ص
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا دور خاص للصاد في اسم الفاعل أو اسم المفعول؛ إذ قد يكون جزءًا من الجذر دون وظيفة نحوية إضافية.,ص
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا يغيّر حرف الصاد قواعد اشتقاق اسم الزمان والمكان؛ قد يكون من الجذر الذي صيغ منه الاسم.,ص
تأثيره على الكلمة ( من حيث البناء والإعراب ),*,حرف الضاد ليس عاملًا نحويًا ولا أثر له على الكلمة من حيث البناء والإعراب,ض
الموقع الإعرابي للحرف,*,لا محل لها من الاعراب دائما,ض
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس لحرف الضاد أثر في تأنيث أو تذكير الكلمة.,ض
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الضاد دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ض
دور الحرف النحوي في الكلمة من حيث (اللّزوم - التّعدي),*,لا يؤدي الضاد دورًا نحويًا في الكلمة من حيث (اللّزوم - التّعدي),ض
دور الحرف النحوي في الكلمة من حيث (النّسب - التّصغير),*,لا دور خاص للضاد في النسب أو التصغير؛ قد يكون جزءًا أصليًا من الكلمة التي نُسبت أو صُغِّرت.,ض
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,لا يؤدي الضاد دورًا نحويًا  في الكلمة من حيث  (المصدر الميمي - صيغ المبالغة),ض
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,لا يؤدي الضاد دورًا نحويًا في الكلمة من حيث (اسم الفاعل - اسم المفعول),ض
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,لا الضاد الجيم دورًا نحويًا  في الكلمة من حيث (الزمان - المكان),ض
تأثيره على الكلمة (من حيث البناء والإعراب),*,الطاء لا تؤثر في الإعراب,ط
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,ط
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,ليس له دور من حيث التأنيث والتذكير,ط
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,ليس له دور من حيث الجمع والتثنية .,ط
دور الحرف النحوي في الكلمة من حيث (اللزوم - التعدي),*,ليس لها دور فهو محدد يعود إلى حسب الفعل,ط
دور الحرف النحوي في الكلمة من حيث (النسب - التصغير),*,ليس له دور بالنسب والتصغير,ط
دور الحرف النحوي في الكلمة (المصدر الميمي - صيغ المبالغة),*,ليس له دور في المصدر الميمي وصيغ المبالغة,ط
دور الحرف النحوي في الكلمة من حيث (اسم الفاعل - اسم المفعول),*,ليس له دور,ط
دور الحرف النحوي في الكلمة من حيث (الزمان - المكان),*,ليس له دور,ط
تأثيره على الكلمة ( من حيث البناء والإعراب  ),*,حرف الظاء ليس عاملًا نحويًا ولا أثر له على الكلمة من حيث البناء والإعراب,ظ
الموقع الإعرابي للحرف,*,لا محل له من الإعراب دائمًا .,ظ
دور الحرف النحوي في الكلمة من حيث (التأنيث - التذكير),*,لا يوجد له دور من حيث التأنيث و التذكير فقط مع الصياغة,ظ
دور الحرف النحوي في الكلمة من حيث (الجمع - التثنية),*,لا يؤدي الظاء دورًا نحويًا في الكلمة من حيث (الجمع - التثنية),ظ
